code,testId,testType,spot,red_current,green_current,blue_current,duv,x,y,u,v,Lv,X,Y,Z
"4G-1-12-09-2-A",150522164256,"135 spots",115,23.4,21.528,21.762,-0.00771647645,0.28394714,0.277385652,0.1971604,0.433359861,8383.141,8581.441000000001,8383.141,13257.3867
"4G-1-12-09-2-A",150522164256,"135 spots",126,23.4,21.528,21.762,-0.00656048348,0.283956617,0.279512048,0.196298137,0.43475768,8217.39551,8348.062,8217.39551,12833.6162
"4G-1-12-09-2-A",150522164256,"135 spots",125,23.4,21.528,21.762,-0.009801854,0.286702484,0.276939929,0.199449554,0.43348065,8315.522000000001,8608.656999999999,8315.522000000001,13102.2705
"4G-1-12-09-2-A",150522164256,"135 spots",90,23.4,21.528,21.762,-0.007331499,0.280330867,0.273591876,0.195951954,0.4302931,7919.69727,8114.77148,7919.69727,12912.6533
"4G-1-12-09-2-A",150522164256,"135 spots",89,23.4,21.528,21.762,-0.00593163632,0.278741747,0.274159938,0.19450143,0.4304347,8415.210999999999,8555.848,8415.210999999999,13723.4746
"4G-1-12-09-2-A",150522164256,"135 spots",74,23.4,21.528,21.762,-0.008636859,0.278176427,0.2684006,0.196436509,0.426449776,8440.892,8748.33,8440.892,14259.6338
"4G-1-12-09-2-A",150522164256,"135 spots",73,23.4,21.528,21.762,-0.0101967277,0.281162858,0.26940006,0.198334619,0.427583337,8028.41748,8378.962,8028.41748,13393.7188
"4G-1-12-09-2-A",150522164256,"135 spots",86,23.4,21.528,21.762,-0.00661439868,0.2788687,0.2730518,0.195051119,0.429710776,8613.511,8797.007,8613.511,14134.8174
"4G-1-12-09-2-A",150522164256,"135 spots",85,23.4,21.528,21.762,-0.007548564,0.277896225,0.2700527,0.195534959,0.4275361,8623.062,8873.513999999999,8623.062,14434.458
"4G-1-12-09-2-A",150522164256,"135 spots",88,23.4,21.528,21.762,-0.00690283626,0.278803527,0.2724318,0.195255116,0.429283768,8624.296,8826.004000000001,8624.296,14206.4141
"4G-1-12-09-2-A",150522164256,"135 spots",87,23.4,21.528,21.762,-0.0057457895,0.277717441,0.27318415,0.194113821,0.4296268,8641.059999999999,8784.450999999999,8641.059999999999,14205.3857
"4G-1-12-09-2-A",150522164256,"135 spots",119,23.4,21.528,21.762,-0.009447725489999999,0.281850338,0.2716335,0.197932035,0.429203629,8443.869000000001,8761.465,8443.869000000001,13880.1875
"4G-1-12-09-2-A",150522164256,"135 spots",69,23.4,21.528,21.762,-0.00621819263,0.276556671,0.270776868,0.194204018,0.427826941,8261.243,8437.582,8261.243,13810.5889
