WaferID,TimeRun,MaxAdcValue,radiometric
"UN0004977",2015-07-09T00:04:32.378Z,9155,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11524,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9958,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11149,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,2636,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8950,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8465,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10077,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8320,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10285,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10301,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10991,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10938,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8317,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10867,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7218,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11281,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8570,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,10147,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10042,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11774,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11636,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11046,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,13033,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8432,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8943,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9687,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8859,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8512,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9986,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9318,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10186,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11810,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9528,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10096,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10782,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11551,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11730,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11577,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,7231,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9978,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,8255,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10246,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10009,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,4005,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10783,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11517,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10819,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9867,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11779,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9354,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10572,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10253,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10993,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10017,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,11786,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11510,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,2718,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,14374,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,12622,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,12932,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,11139,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8875,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8334,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,8773,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10266,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9732,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11287,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11577,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10845,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10859,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11840,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11783,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11726,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11147,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8802,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11278,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9551,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9577,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11762,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11828,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11855,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,2684,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,10377,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10720,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7239,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10979,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9967,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10706,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11151,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11864,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11791,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,10386,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,7234,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10369,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10121,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,4041,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9540,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10465,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11806,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9980,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,3785,-0.0003406415053177625
